time,vel_sp,vel,theta,acc_sp,acc
0,0,0,-5,-0.00126297593830895,0
0.02,0,-0.00575183282383898,-4.96478513312426,-0.00126297593830895,-0.318296885835497
0.04,0,-0.0120679437796271,-4.85700122790033,-0.000104984002681924,-0.311672266182263
0.06,0,-0.0181860203162497,-4.67843631943371,0.00651488110959374,-0.29711146934147
0.08,0,-0.023928903300234,-4.43230371403168,0.00651488110959374,-0.27344078050964
0.1,0,-0.0291253802052183,-4.1231708013754,0.0189030930659572,-0.241741766623983
0.12,0,-0.0336283948797347,-3.75685240211579,0.0347939491062527,-0.203981804329978
0.14,0,-0.0373449496987851,-3.34024101218892,0.0347939491062527,-0.162872126049772
0.16,0,-0.0402199584261595,-2.88110156827751,0.0505905524647953,-0.119946070699322
0.18,0,-0.0422392353511137,-2.38788015188999,0.0627680967902699,-0.0773860291818867
0.2,0,-0.0434138788379113,-1.86949275830746,0.0627680967902699,-0.0357446565501147
0.22,0,-0.043776977047563,-1.33514815206987,0.0688740712133947,0.00337905167129868
0.24,0,-0.0433781632058649,-0.794145783868454,0.0679248280810869,0.0401096200941343
0.26,0,-0.0422734248626646,-0.255714532955356,0.0679248280810869,0.0733476667356993
0.28,0,-0.0405322381715338,0.271169678816749,0.0602756277558244,0.103426594394815
0.3,0,-0.0382193420594156,0.777928978384633,0.0471869013069828,0.129815834104756
0.32,0,-0.035411371250454,1.25653351813387,0.0471869013069828,0.152655601571941
0.34,0,-0.0321765968236416,1.69962697448208,0.0303235286021669,0.17187457349945
0.36,0,-0.0285917114549012,2.10063592058364,0.0113561876829348,0.187452299809664
0.38,0,-0.0247245092440108,2.45386374383908,0.0113561876829348,0.199624150247505
0.4,0,-0.0206480009886421,2.75456030012749,-0.00826103774422368,0.20820794656142
0.42,0,-0.0164277218792429,2.99898415845657,-0.0273477451155684,0.213622025448838
0.44,0,-0.0121331875614245,3.18443920489949,-0.0273477451155684,0.215425287326468
0.46,0,-0.00782947691651012,3.30931205784123,-0.0449495017860169,0.214264402317711
0.48,0,-0.00358055971845739,3.37307053725699,-0.0602562348624935,0.209655198006956
0.5,0,0.000550728591188226,3.37627523073769,-0.0602562348624935,0.20230361775884
0.52,0,0.00450787961040661,3.32061173150177,-0.0725406321784377,0.191867504915626
0.54,0,0.00823226187048436,3.20878659670675,-0.0811436463335324,0.178863286959306
0.56,0,0.0116737685949505,3.04445774783649,-0.0811436463335324,0.163180891693138
0.58,0,0.0147800917752845,2.83221410392694,-0.0855049270198117,0.14525037620314
0.6,0,0.0175113650319661,2.57749325727895,-0.085219198467098,0.125369419091115
0.62,0,0.019828876030577,2.28647893576897,-0.085219198467098,0.103866553307548
0.64,0,0.0217074514597467,1.96598419313217,-0.0800973074819685,0.0813081998870153
0.66,0,0.0231256505911035,1.62331173160621,-0.0702131004228895,0.0579554403609046
0.68,0,0.0240771619169998,1.26610604727408,-0.0702131004228895,0.034648044083259
0.7,0,0.0245616314222569,0.90218269247581,-0.0559248113759293,0.0114974067990348
0.72,0,0.0245934277385146,0.539369043975794,-0.0378686273282385,-0.0104140970206448
0.74,0,0.0241955762368043,0.185323282780497,-0.0378686273282385,-0.0311955293824749
0.76,0,0.0233999858029715,-0.152613654737571,-0.0169291379783803,-0.0498242397169364
0.78,0,0.0222495110446245,-0.467579948600272,0.00580898416620238,-0.0664321253740495
0.8,0,0.0207904313311981,-0.753313609318689,0.00580898416620238,-0.0802644123579496
0.82,0,0.0190785132341185,-1.00427247539052,0.0291226510079413,-0.0915141750538923
0.84,0,0.0171672975726697,-1.21571706347334,0.0517199853617054,-0.0997729230838841
